job_id,job_title,min_salary,max_salary
AD_PRES,President,20000.00,40000
AD_VP,Administration Vice President,15000.00,30000
AD_ASST,Administration Assistant,3000.00,6000
FI_MGR,Finance Manager,8200.00,16000
FI_ACCOUNT,Accountant,4200.00,9000
AC_MGR,Accounting Manager,8200.00,16000
AC_ACCOUNT,Public Accountant,4200.00,9000
SA_MAN,Sales Manager,10000.00,20000
SA_REP,Sales Representative,6000.00,12000
PU_MAN,Purchasing Manager,8000.00,15000
PU_CLERK,Purchasing Clerk,2500.00,5500
ST_MAN,Stock Manager,5500.00,8500
ST_CLERK,Stock Clerk,2000.00,5000
SH_CLERK,Shipping Clerk,2500.00,5500
IT_PROG,Programmer,4000.00,10000
MK_MAN,Marketing Manager,9000.00,15000
MK_REP,Marketing Representative,4000.00,9000
HR_REP,Human Resources Representative,4000.00,9000
PR_REP,Public Relations Representative,4500.00,10500
